model,feature_type,latent_dim,beta,lr,epochs,n_clusters,clustering,eval_set,silhouette_score,calinski_harabasz_index,davies_bouldin_index,adjusted_rand_index,normalized_mutual_info,cluster_purity
MultiModalVAE,mel+lyrics,16,1.0,0.001,60,18,GMM,labeled_only,0.040560510009527206,4558.206384730734,4.1053342810969236,1.1123153552901697e-05,0.0041516386341350995,0.13621925764588438
MultiModalVAE,mel+lyrics,32,1.0,0.001,60,2,KMeans,all,0.6315344572067261,30680.744346494703,0.5880982294220198,0.0012818826836868617,0.0003816846374194423,0.44957290573954745
MultiModalVAE,mel+lyrics,32,1.0,0.001,60,2,KMeans,labeled_only,0.6337008476257324,17272.60097577092,0.585651780397171,0.00010929505074610136,0.0005982634852112667,0.12478446319992739
MultiModalVAE,mel+lyrics,32,1.0,0.001,60,2,KMeans,language,0.6315344572067261,30680.744346494703,0.5880982294220198,-3.124546361380672e-05,3.3090399903311505e-06,0.5005245017233628
MultiModalVAE,mel+lyrics,32,1.0,0.001,60,2,GMM,all,0.5488043427467346,25941.833218749533,0.6761671058734028,-5.4552639315112415e-05,0.00027691950823433573,0.44957290573954745
MultiModalVAE,mel+lyrics,32,1.0,0.001,60,2,GMM,labeled_only,0.5481677651405334,14426.099204056205,0.6762371542386301,-0.0002493616874584514,0.00044501049973156735,0.12505672021054542
MultiModalVAE,mel+lyrics,32,1.0,0.001,60,2,KMeans,language,0.6315344572067261,30680.744346494703,0.5880982294220198,-3.124546361380672e-05,3.3090399903311505e-06,0.5005245017233628
MultiModalVAE,mel+lyrics,32,1.0,0.001,60,10,KMeans,all,0.5045447945594788,87448.29067685838,0.5442907519947124,9.538734605187047e-05,0.001811685666435475,0.44957290573954745
MultiModalVAE,mel+lyrics,32,1.0,0.001,60,10,KMeans,labeled_only,0.5022240281105042,48126.9413311682,0.5446413285043044,-5.3871101394761293e-05,0.0028924260463982026,0.1329521735184681
MultiModalVAE,mel+lyrics,32,1.0,0.001,60,10,GMM,all,0.2222529947757721,16407.915095487697,2.552425360135969,0.0012223927370505548,0.0016808500357102737,0.44957290573954745
MultiModalVAE,mel+lyrics,32,1.0,0.001,60,10,GMM,labeled_only,0.2181183248758316,9245.755349451338,2.4181748348844017,-0.00012878347895343831,0.00257997742987366,0.13177239313912334
MultiModalVAE,mel+lyrics,32,1.0,0.001,60,18,KMeans,all,0.47504928708076477,128044.11209980123,0.5689140798835538,-0.00022133078482822758,0.0026180317003310907,0.44957290573954745
MultiModalVAE,mel+lyrics,32,1.0,0.001,60,18,KMeans,labeled_only,0.4749026298522949,68673.54145222592,0.5665775541838413,-0.00017236356355500497,0.004126972866076644,0.13567474362464835
